
# The Moonlight Treasure Chest (50011), replacing the stock group: what the
# stock one held - kingdom languages, a fugitive's cape, Lucy's ring - is
# nothing a character in this world can use. One line is drawn per chest, by
# weight. Bonus scrolls first, because a full bonus line is the largest single
# step a character takes between two refines; then the speed potions, the
# boosters and the big potions the bots already know how to drink; a blessing
# scroll for the blacksmith; and now and then a skill book.
Group	MoonlightChest
{
	Vnum	50011
	1	71084	1	14
	2	71085	1	12
	3	27101	5	14
	4	27104	5	12
	5	71044	3	10
	6	71045	3	10
	7	71018	3	8
	8	71020	3	8
	9	25040	1	6
	10	50300	1	6
}
